attack_id,features
592,"central_attack,through_ball"
593,"central_attack,through_ball"
594,"central_attack,through_ball"
595,"central_attack,through_ball"
596,"central_attack,through_ball"
597,"central_attack,through_ball,fast_break"
598,"through_ball,fast_break"
599,"central_attack,through_ball"
600,"central_attack,through_ball"
601,"central_attack,through_ball"
602,"central_attack,through_ball"
603,"central_attack,through_ball"
604,"central_attack,through_ball"
605,"central_attack,through_ball"
606,"central_attack,through_ball"
607,"central_attack,through_ball"
608,"central_attack,through_ball"
609,"central_attack,through_ball"
610,"through_ball,central_attack"
611,"central_attack,through_ball"
612,"central_attack,through_ball"
613,"central_attack,through_ball"
614,"central_attack,through_ball"
615,"central_attack,through_ball"
616,"central_attack,through_ball"
617,"central_attack,through_ball,fast_break"
618,"central_attack,through_ball,goal"
619,"central_attack,through_ball"
620,"through_ball,fast_break"
621,"central_attack,through_ball"
622,"central_attack,through_ball"
623,"central_attack,through_ball"
624,"inside_box_shot,central_attack,through_ball,goal"
625,"through_ball,fast_break"
626,"central_attack,through_ball"
627,"inside_box_shot,central_attack,through_ball,goal"
628,"central_attack,through_ball"
629,"through_ball,fast_break"
630,"central_attack,through_ball"
631,"central_attack,through_ball"
632,"central_attack,through_ball"
633,"central_attack,through_ball"
634,"central_attack,through_ball"
635,"central_attack,through_ball"
636,"central_attack,through_ball"
637,"through_ball,fast_break"
638,"central_attack,through_ball"
639,"central_attack,through_ball,fast_break"
640,"central_attack,through_ball,fast_break"
641,"through_ball,central_attack"
642,"central_attack,through_ball"
643,"central_attack,through_ball"
644,"central_attack,through_ball"
645,"central_attack,through_ball"
646,"through_ball,fast_break"
647,"inside_box_shot,central_attack,through_ball,goal"
648,"through_ball,central_attack"
649,"through_ball,fast_break"
650,"central_attack,through_ball"
651,"central_attack,through_ball"
652,"central_attack,through_ball"
653,"central_attack,through_ball"
654,"central_attack,through_ball"
655,"through_ball,fast_break"
656,"through_ball,central_attack"
657,"central_attack,through_ball,fast_break"
658,"central_attack,through_ball"
659,"central_attack,through_ball"
660,"inside_box_shot,central_attack,goal"
661,"central_attack,goal"
662,"inside_box_shot,central_attack,goal"
663,"central_attack,goal"
664,"inside_box_shot,central_attack,goal"
665,"central_attack,goal"
666,"central_attack,fast_break"
667,"inside_box_shot,central_attack,goal"
668,"central_attack,goal"
669,"central_attack,goal"
670,"central_attack,fast_break"
671,"inside_box_shot,central_attack,goal"
672,"inside_box_shot,central_attack,goal"
673,"central_attack,fast_break"
674,"central_attack,goal"
675,"central_attack,fast_break"
676,"inside_box_shot,central_attack,goal"
677,"inside_box_shot,central_attack,goal"
678,"inside_box_shot,central_attack,goal"
679,"inside_box_shot,central_attack,goal"
680,"inside_box_shot,central_attack,goal"
681,"central_attack,fast_break"
682,"inside_box_shot,central_attack,goal"
683,"central_attack,goal"
684,"central_attack,fast_break"
685,"central_attack,fast_break"
686,"inside_box_shot,central_attack,goal"
687,"central_attack,fast_break"
688,"inside_box_shot,central_attack,goal"
689,"inside_box_shot,central_attack,goal"
690,"inside_box_shot,central_attack,goal"
691,"central_attack,fast_break"
692,"central_attack,goal"
693,"central_attack,goal"
694,"central_attack,goal"
695,"inside_box_shot,central_attack,goal"
696,"central_attack,goal"
697,"central_attack,through_ball"
698,"central_attack,through_ball,goal"
699,"central_attack,through_ball"
700,"central_attack,through_ball"
701,"central_attack,through_ball"
702,"through_ball,fast_break"
703,"through_ball,fast_break"
704,"through_ball,fast_break"
705,"central_attack,through_ball"
706,"central_attack,through_ball"
707,"through_ball,fast_break"
708,"central_attack,through_ball"
709,"central_attack,through_ball"
710,"central_attack,through_ball"
711,"through_ball,central_attack,fast_break"
712,"central_attack,through_ball"
713,"central_attack,through_ball,goal"
714,"central_attack,through_ball"
715,"through_ball,central_attack"
716,"central_attack,through_ball"
717,"central_attack,through_ball"
718,"central_attack,through_ball"
719,"central_attack,through_ball"
720,"central_attack,through_ball"
721,"inside_box_shot,central_attack,through_ball,goal"
722,"central_attack,through_ball,goal"
723,"central_attack,through_ball,fast_break"
724,"central_attack,through_ball"
725,"central_attack,through_ball"
726,"central_attack,through_ball"
727,"central_attack,through_ball"
728,"central_attack,through_ball"
729,"central_attack,through_ball"
730,"central_attack,through_ball"
731,"inside_box_shot,central_attack,through_ball,goal"
732,"central_attack,through_ball"
733,"through_ball,fast_break"
734,"central_attack,through_ball"
735,"inside_box_shot,central_attack,through_ball,goal"
736,"central_attack,through_ball,fast_break"
737,"central_attack,through_ball"
738,"central_attack,through_ball"
739,"central_attack,through_ball"
740,"central_attack,through_ball"
741,"central_attack,through_ball,fast_break"
742,"central_attack,through_ball"
743,"inside_box_shot,central_attack,through_ball,goal"
744,"central_attack,through_ball,fast_break"
745,"through_ball,fast_break"
746,"central_attack,through_ball"
747,"through_ball,fast_break"
748,"central_attack,through_ball,fast_break"
749,"inside_box_shot,central_attack,through_ball,goal"
750,"central_attack,through_ball"
751,"central_attack,through_ball"
752,"central_attack,through_ball"
753,"through_ball,fast_break"
754,"central_attack,through_ball"
755,"central_attack,through_ball"
756,"central_attack,through_ball"
757,"central_attack,through_ball"
758,"central_attack,through_ball"
759,"central_attack,through_ball"
760,"central_attack,through_ball"
761,"through_ball,central_attack"
762,"central_attack,through_ball"
763,"inside_box_shot,central_attack,through_ball,goal"
764,"central_attack,through_ball"
765,"central_attack,through_ball"
766,"through_ball,fast_break"
767,"central_attack,through_ball"
768,"through_ball,fast_break"
769,"central_attack,through_ball"
770,"central_attack,through_ball"
771,"through_ball,fast_break"
772,"central_attack,through_ball"
773,"through_ball,fast_break"
774,"central_attack,through_ball"
775,"inside_box_shot,central_attack,through_ball,goal"
776,"through_ball,central_attack"
777,"central_attack,through_ball"
778,"central_attack,through_ball"
779,"central_attack,through_ball"
780,"central_attack,through_ball,goal"
781,"through_ball,fast_break"
782,"central_attack,through_ball"
783,"central_attack,through_ball"
784,"central_attack,through_ball"
785,"central_attack,through_ball"
786,"through_ball,fast_break"
787,"central_attack,through_ball"
788,"through_ball,central_attack"
789,"central_attack,through_ball"
790,"central_attack,through_ball"
791,"central_attack,through_ball"
792,"central_attack,through_ball"
793,"central_attack,through_ball"
794,"central_attack,through_ball"
795,"central_attack,through_ball"
796,"central_attack,through_ball"
797,"central_attack,through_ball"
798,"central_attack,through_ball"
799,"central_attack,through_ball"
800,"through_ball,central_attack"
801,"central_attack,through_ball"
802,"through_ball,central_attack,goal"
803,"through_ball,fast_break"
804,"central_attack,through_ball"
805,"inside_box_shot,central_attack,through_ball,goal"
806,"central_attack,through_ball"
807,"through_ball,fast_break"
808,"central_attack,through_ball"
809,"central_attack,through_ball"
810,"central_attack,through_ball"
811,"central_attack,through_ball"
812,"central_attack,through_ball"
813,"central_attack,through_ball"
814,"central_attack,through_ball"
815,"central_attack,through_ball"
816,"through_ball,fast_break"
817,"central_attack,through_ball"
818,"central_attack,through_ball"
819,"central_attack,through_ball"
820,"central_attack,through_ball"
821,"central_attack,through_ball"
822,"central_attack,through_ball"
823,"central_attack,through_ball"
824,"through_ball,central_attack"
825,"through_ball,central_attack,fast_break,goal"
826,"through_ball,fast_break"
827,"central_attack,through_ball"
828,"central_attack,through_ball"
829,"central_attack,through_ball"
830,"through_ball,fast_break"
831,"central_attack,through_ball"
832,"inside_box_shot,central_attack,through_ball,goal"
833,"through_ball,fast_break"
834,"central_attack,through_ball,fast_break"
835,"through_ball,central_attack"
836,"central_attack,through_ball"
837,"central_attack,through_ball"
838,"through_ball,fast_break"
839,"through_ball,central_attack"
840,"central_attack,through_ball"
841,"central_attack,through_ball"
842,"central_attack,through_ball"
843,"central_attack,through_ball"
844,"central_attack,through_ball,fast_break"
845,"central_attack,through_ball"
846,"inside_box_shot,central_attack,through_ball,goal"
847,"central_attack,through_ball"
848,"central_attack,through_ball"
849,"central_attack,through_ball"
850,"central_attack,through_ball"
851,"central_attack,through_ball"
852,"central_attack,through_ball"
853,"through_ball,fast_break"
854,"through_ball,fast_break"
855,"central_attack,through_ball,fast_break"
856,"central_attack,through_ball,goal"
857,"central_attack,through_ball,goal"
858,"central_attack,through_ball,goal"
859,"central_attack,through_ball"
860,"through_ball,fast_break"
861,"central_attack,through_ball"
862,"central_attack,through_ball"
863,"central_attack,through_ball"
864,"central_attack,through_ball"
865,"central_attack,through_ball"
866,"central_attack,through_ball"
867,"central_attack,through_ball"
868,"central_attack,through_ball"
869,"central_attack,through_ball"
870,"central_attack,through_ball"
