attack_id,features
595,"central_attack,through_ball"
596,"through_ball,central_attack"
597,"central_attack,goal"
598,"inside_box_shot,central_attack,goal"
599,"central_attack,fast_break,goal"
600,"central_attack,fast_break"
601,"central_attack,fast_break"
602,"central_attack,goal"
603,"inside_box_shot,central_attack,goal"
604,"central_attack,fast_break"
605,"central_attack,goal"
606,"central_attack,fast_break"
607,"central_attack,goal"
608,"central_attack,fast_break"
609,"central_attack,fast_break"
610,"inside_box_shot,central_attack,fast_break,goal"
611,"central_attack,fast_break"
612,"central_attack,fast_break"
613,"central_attack,fast_break"
614,"inside_box_shot,central_attack,fast_break,goal"
615,"inside_box_shot,central_attack,goal"
616,"central_attack,fast_break"
617,"central_attack,fast_break"
618,"inside_box_shot,central_attack,goal"
619,"central_attack,fast_break"
620,"inside_box_shot,central_attack,goal"
621,"inside_box_shot,central_attack,goal"
622,"central_attack,fast_break"
623,"central_attack,goal"
624,"central_attack,fast_break"
625,"central_attack,goal"
626,"central_attack,fast_break"
627,"inside_box_shot,central_attack,fast_break,goal"
628,"inside_box_shot,central_attack,fast_break,goal"
629,"central_attack,fast_break"
630,"central_attack,fast_break"
631,"central_attack,fast_break"
632,"central_attack,fast_break"
633,"central_attack,fast_break"
634,"central_attack,goal"
635,"central_attack,goal"
636,"inside_box_shot,central_attack,goal"
637,"inside_box_shot,central_attack,fast_break,goal"
638,"inside_box_shot,central_attack,fast_break,goal"
639,"central_attack,fast_break"
640,"inside_box_shot,central_attack,goal"
641,"central_attack,fast_break"
642,"inside_box_shot,central_attack,goal"
643,"central_attack,fast_break"
644,"central_attack,fast_break"
645,"central_attack,fast_break,goal"
646,"inside_box_shot,central_attack,goal"
647,"inside_box_shot,central_attack,goal"
648,"inside_box_shot,central_attack,fast_break,goal"
649,"inside_box_shot,central_attack,goal"
650,"central_attack,fast_break"
651,"inside_box_shot,central_attack,goal"
652,"inside_box_shot,central_attack,goal"
653,"inside_box_shot,central_attack,fast_break,goal"
654,"inside_box_shot,central_attack,goal"
655,"central_attack,fast_break"
656,"central_attack,fast_break"
657,"central_attack,goal"
658,"inside_box_shot,central_attack,goal"
659,"central_attack,fast_break"
660,"inside_box_shot,central_attack,fast_break,goal"
661,"central_attack,fast_break"
662,"central_attack,fast_break"
663,"inside_box_shot,central_attack,goal"
664,"central_attack,goal"
665,"central_attack,fast_break"
666,"central_attack,fast_break"
667,"central_attack,fast_break"
668,"central_attack,fast_break,goal"
669,"inside_box_shot,central_attack,goal"
670,"inside_box_shot,central_attack,fast_break,goal"
671,"central_attack,fast_break"
672,"inside_box_shot,central_attack,goal"
673,"inside_box_shot,central_attack,goal"
674,"central_attack,fast_break"
675,"central_attack,fast_break,goal"
676,"central_attack,fast_break"
677,"central_attack,fast_break"
678,"inside_box_shot,central_attack,fast_break,goal"
679,"central_attack,goal"
680,"inside_box_shot,central_attack,goal"
681,"central_attack,through_ball"
682,"central_attack,through_ball"
683,"central_attack,through_ball,fast_break"
684,"central_attack,through_ball,goal"
685,"central_attack,through_ball,inside_box_shot,fast_break,goal"
686,"central_attack,through_ball"
687,"central_attack,fast_break"
688,"central_attack,through_ball"
689,"central_attack,through_ball,goal"
690,"central_attack,through_ball,fast_break"
691,"central_attack,through_ball"
692,"through_ball,central_attack,goal"
693,"central_attack,fast_break,goal"
694,"central_attack,fast_break"
695,"central_attack,through_ball,fast_break"
696,"central_attack,through_ball,fast_break"
697,"central_attack,through_ball,fast_break"
698,"central_attack,through_ball"
699,"central_attack,through_ball"
700,"central_attack,through_ball"
701,"central_attack,through_ball"
702,"central_attack,through_ball"
703,"central_attack,through_ball,goal"
704,"central_attack,through_ball"
705,"central_attack,through_ball"
706,"central_attack,through_ball"
707,"central_attack,through_ball"
708,"inside_box_shot,central_attack,through_ball,goal"
709,"inside_box_shot,central_attack,through_ball,goal"
710,"inside_box_shot,central_attack,through_ball,goal"
711,"central_attack,through_ball"
712,"through_ball,central_attack"
713,"through_ball,central_attack"
714,"central_attack,through_ball"
715,"central_attack,through_ball"
716,"central_attack,through_ball,fast_break"
717,"central_attack,through_ball"
718,"through_ball,central_attack"
719,"inside_box_shot,central_attack,through_ball,goal"
720,"central_attack,through_ball"
721,"through_ball,central_attack"
722,"central_attack,through_ball"
723,"through_ball,central_attack,goal"
724,"through_ball,central_attack"
725,"central_attack,through_ball"
726,"central_attack,through_ball"
727,"central_attack,through_ball,fast_break"
728,"through_ball,central_attack"
729,"central_attack,through_ball"
730,"central_attack,through_ball"
731,"through_ball,central_attack"
732,"central_attack,through_ball"
733,"central_attack,fast_break,goal"
734,"central_attack,through_ball"
735,"central_attack,through_ball"
736,"inside_box_shot,central_attack,through_ball,goal"
737,"central_attack,through_ball"
738,"through_ball,central_attack"
739,"inside_box_shot,central_attack,through_ball,goal"
740,"central_attack,through_ball"
741,"central_attack,through_ball"
742,"central_attack,through_ball"
743,"inside_box_shot,through_ball,central_attack,goal"
744,"central_attack,through_ball"
745,"central_attack,through_ball,inside_box_shot,fast_break,goal"
746,"inside_box_shot,central_attack,through_ball,goal"
747,"central_attack,through_ball"
748,"central_attack,through_ball"
749,"central_attack,through_ball"
750,"central_attack,through_ball"
751,"central_attack,through_ball"
752,"central_attack,through_ball"
753,"central_attack,through_ball"
754,"central_attack,through_ball,goal"
755,"central_attack,through_ball"
756,"central_attack,through_ball"
757,"central_attack,through_ball"
758,"central_attack,through_ball"
759,"central_attack,fast_break"
760,"central_attack,through_ball"
761,"central_attack,through_ball"
762,"central_attack,through_ball"
763,"central_attack,through_ball"
764,"through_ball,central_attack"
765,"central_attack,through_ball"
766,"central_attack,through_ball,fast_break"
767,"central_attack,through_ball"
768,"through_ball,central_attack"
769,"central_attack,through_ball"
770,"central_attack,through_ball"
771,"central_attack,through_ball"
772,"central_attack,through_ball"
773,"central_attack,through_ball"
774,"central_attack,through_ball"
775,"central_attack,through_ball"
776,"central_attack,through_ball,inside_box_shot,fast_break,goal"
777,"central_attack,through_ball"
778,"central_attack,through_ball"
779,"central_attack,through_ball,inside_box_shot,fast_break,goal"
780,"central_attack,through_ball"
781,"central_attack,fast_break"
782,"central_attack,through_ball"
783,"inside_box_shot,central_attack,through_ball,goal"
784,"central_attack,through_ball,fast_break"
